gampa_ns,gaba_base_ns,angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
3.000000,0.200000,300,10007,248,103.1283,-17.6373
3.000000,0.200000,300,10007,256,103.2382,-17.5833
3.000000,0.200000,300,10007,264,103.3259,-17.5576
3.000000,0.200000,300,10007,272,103.5118,-17.5470
3.000000,0.200000,300,10007,280,103.6642,-17.5764
3.000000,0.200000,300,10007,288,103.9453,-17.7310
3.000000,0.200000,300,10007,296,104.0260,-17.8009
3.000000,0.200000,300,10007,304,104.1155,-17.8868
3.000000,0.200000,300,10007,312,104.1606,-17.9313
3.000000,0.200000,300,10007,320,104.2872,-18.0564
3.000000,0.200000,300,10007,328,104.3713,-18.1406
3.000000,0.200000,300,10007,336,104.4495,-18.2173
3.000000,0.200000,300,10007,344,104.5539,-18.3163
3.000000,0.200000,300,10007,352,104.7974,-18.5417
3.000000,0.200000,300,10007,360,105.3850,-19.3363
3.000000,0.200000,300,10007,368,105.4634,-19.4848
3.000000,0.200000,300,10007,376,105.5447,-19.6445
3.000000,0.200000,300,10007,384,105.5997,-19.7526
3.000000,0.200000,300,10007,392,105.7213,-19.9766
3.000000,0.200000,300,10007,400,105.7765,-20.0722
3.000000,0.200000,300,10007,408,105.9054,-20.2617
3.000000,0.200000,300,10007,416,106.1138,-20.5269
3.000000,0.200000,300,10007,424,106.3092,-20.7518
3.000000,0.200000,300,10007,432,106.3621,-20.8125
3.000000,0.200000,300,10007,440,106.5059,-20.9805
3.000000,0.200000,300,10007,448,106.9176,-21.5393
3.000000,0.200000,300,10007,456,106.9985,-21.6672
3.000000,0.200000,300,10007,464,107.2975,-22.1645
3.000000,0.200000,300,10007,472,107.3138,-22.1942
3.000000,0.200000,300,10007,480,107.4768,-22.4719
3.000000,0.200000,300,10007,488,108.0198,-23.4203
3.000000,0.200000,300,10007,496,108.7071,-25.1139
3.000000,0.200000,300,10007,504,108.8287,-25.4718
3.000000,0.200000,300,10007,512,109.2032,-26.5810
3.000000,0.200000,300,10007,520,109.3003,-26.8690
3.000000,0.200000,300,10007,528,109.3909,-27.1309
3.000000,0.200000,300,10007,536,109.6028,-27.6942
3.000000,0.200000,300,10007,544,110.0421,-28.7615
3.000000,0.200000,300,10007,552,110.0727,-28.8365
3.000000,0.200000,300,10007,560,110.1621,-29.0484
3.000000,0.200000,300,10007,568,110.3172,-29.3813
3.000000,0.200000,300,10007,576,110.3311,-29.4091
3.000000,0.200000,300,10007,584,110.4285,-29.5764
3.000000,0.200000,300,10007,592,110.7703,-29.8629
3.000000,0.200000,300,10007,600,110.9720,-29.9539
3.000000,0.200000,300,10007,608,111.1091,-30.0014
3.000000,0.200000,300,10007,616,111.1318,-30.0073
3.000000,0.200000,300,10007,624,111.1887,-30.0198
3.000000,0.200000,300,10007,632,111.2973,-30.0217
3.000000,0.200000,300,10007,640,111.5905,-29.9418
3.000000,0.200000,300,10007,648,111.6405,-29.9296
3.000000,0.200000,300,10007,656,111.9319,-29.8704
3.000000,0.200000,300,10007,664,112.4931,-30.0879
3.000000,0.200000,300,10007,672,112.5383,-30.1310
3.000000,0.200000,300,10007,680,112.8079,-30.3903
3.000000,0.200000,300,10007,688,113.5090,-31.4766
3.000000,0.200000,300,10007,696,113.5494,-31.5614
3.000000,0.200000,300,10007,704,113.7442,-31.9558
3.000000,0.200000,300,10007,712,114.2753,-33.0694
3.000000,0.200000,300,10007,720,114.4081,-33.3833
3.000000,0.200000,300,10007,728,114.5661,-33.7606
3.000000,0.200000,300,10007,736,114.6106,-33.8638
3.000000,0.200000,300,10007,744,114.9093,-34.4694
3.000000,0.200000,300,10007,752,115.1774,-34.9426
3.000000,0.200000,300,10007,760,115.2212,-35.0183
3.000000,0.200000,300,10007,768,115.2764,-35.1044
3.000000,0.200000,300,10007,776,115.5434,-35.3951
3.000000,0.200000,300,10007,784,115.6871,-35.5115
3.000000,0.200000,300,10007,792,115.8269,-35.6126
3.000000,0.200000,300,10007,800,116.2843,-35.8803
3.000000,0.200000,300,10007,808,117.0856,-36.8439
3.000000,0.200000,300,10007,816,117.8240,-38.4617
3.000000,0.200000,300,10007,824,117.9119,-38.6795
3.000000,0.200000,300,10007,832,118.2594,-39.4339
3.000000,0.200000,300,10007,840,118.3460,-39.6143
3.000000,0.200000,300,10007,848,118.3946,-39.7140
3.000000,0.200000,300,10007,856,118.4378,-39.7978
3.000000,0.200000,300,10007,864,118.6401,-40.1049
3.000000,0.200000,300,10007,872,118.9221,-40.3945
3.000000,0.200000,300,10007,880,118.9689,-40.4348
3.000000,0.200000,300,10007,888,119.2404,-40.5659
3.000000,0.200000,300,10007,896,119.9772,-40.9714
3.000000,0.200000,300,10007,904,121.0416,-42.6412
3.000000,0.200000,300,10007,912,121.0934,-42.7502
3.000000,0.200000,300,10007,920,121.3573,-43.2595
3.000000,0.200000,300,10007,928,122.0420,-44.3973
3.000000,0.200000,300,10007,936,122.4911,-45.2173
3.000000,0.200000,300,10007,944,122.6313,-45.4809
3.000000,0.200000,300,10007,952,123.0264,-46.0828
3.000000,0.200000,300,10007,960,123.7440,-47.0827
3.000000,0.200000,300,10007,968,123.7939,-47.1588
3.000000,0.200000,300,10007,976,124.0159,-47.4577
