parameter,mean_high_mi,std_high_mi,mean_low_mi,std_low_mi,mwu_p_mi,cliffs_delta_mi,mean_high_atp,std_high_atp,mean_low_atp,std_low_atp,mwu_p_atp,cliffs_delta_atp
AIS_LENGTH_UM,27.63520190198004,2.7143075628493047,32.406678326644595,5.750836922115098,1.9341865282411726e-100,-0.5759274362789988,33.50925302828938,6.743110912142441,27.215023579997244,1.9322797064476915,7.643503876449755e-114,0.6622569187799661
AIS_DIAMETER_UM,0.6740017878583281,0.10036407740477252,0.7046394515226928,0.14938048736213547,0.005319546138620328,-0.07545167506105006,0.7214252088194336,0.15887969946419703,0.6157311324440348,0.06641818081746721,2.0758987718096393e-50,0.43608263943851755
GNMDA_DEND,0.0065768842851396435,0.0042869343587089645,0.004736005483465781,0.003658790579729864,3.9300176811991376e-28,0.2977204002594628,0.005220514120254188,0.003443467051759621,0.005719778235347494,0.004512711132421279,0.021138993300426137,-0.06733668670403778
MG_CONC_MM,0.36606641478031454,0.07341244565270115,0.29002363946382154,0.11090022946951085,1.6811768081424646e-46,0.38761661515567764,0.3002425114984922,0.11143762683360946,0.37093574387049505,0.068456576716407,1.5104509610746672e-33,-0.3525209149600016
VOFF_NMDA,1.877834195233258,6.265027219855062,-0.42194854495581835,5.74266302047157,1.417439730313135e-19,0.24501464247557997,0.45335192798268426,5.802465964389218,2.8502475189673073,6.8776136353802135,6.1212404501611205e-18,-0.2520375324598871
NAV16_DEND_DISTAL,0.03082588135525444,0.01036962039270515,0.026684147501305707,0.01327761397533645,3.4762840708030313e-13,0.19693056509462759,0.02754748687250385,0.012405156506807897,0.028121441844255576,0.012057307250522804,0.3996719664839784,-0.024599198069086413
NAP_DEND_DISTAL,0.005243990682715496,0.0013448460677366071,0.004934165612208322,0.002513285734892573,0.41410263816664816,0.02210918421855922,0.004430331133148823,0.0025823612735664542,0.005619142442536438,0.0009659781849914889,1.553264073030138e-16,-0.24100607662168616
num_primary_branches,4.518355448174838,0.5634655738836061,4.611703842858801,1.0181095732843135,0.662773289219341,-0.011806986416361416,5.064716245350047,1.1755288642726578,4.33002084439043,0.29312549778828145,1.1318239205309899e-36,0.369440937722804
branch_prob_per_um,0.014794366105626662,0.0057545377736101565,0.01831736120667426,0.012209130093200403,2.076404770543847e-05,-0.11523318261599512,0.01989058894282867,0.011432282703454567,0.01384727346580376,0.0059748042494925995,3.6183462366090786e-33,0.35043923051262094
max_strahler_depth,3.5886913284739292,1.5222257530148706,4.161488840632542,1.416396141950055,1.4300595887988637e-15,-0.21607905982905984,4.11468785370891,1.362541759359322,3.8564370411047655,1.5614589309700455,0.1577064969622064,0.04125430890692761
mean_branching_angle_deg,72.13502857824975,5.917808681854477,64.49343630891426,15.46861004044061,1.8765892409985823e-17,0.23014561393467645,62.55559476529623,16.26207776679379,73.37026324525071,2.577093194485555,1.091107674363876e-30,-0.3363580170197735
