strategy,compute_mode,tier,parameterisation,cost_mult,sample_mult,usd_scaled
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,2.0,1.0,311.44
SURROGATE_NN_GA,SURROGATE_NN_GPU,H100,tight,2.0,2.0,401.22
SURROGATE_NN_GA,MANY_CORE_CPU,CPU-96,tight,0.5,0.5,8.09
SURROGATE_NN_GA,MANY_CORE_CPU,CPU-96,tight,0.5,1.0,16.19
SURROGATE_NN_GA,MANY_CORE_CPU,CPU-96,tight,0.5,2.0,32.38
SURROGATE_NN_GA,MANY_CORE_CPU,CPU-96,tight,1.0,0.5,16.19
SURROGATE_NN_GA,MANY_CORE_CPU,CPU-96,tight,1.0,1.0,32.38
SURROGATE_NN_GA,MANY_CORE_CPU,CPU-96,tight,1.0,2.0,64.75
SURROGATE_NN_GA,MANY_CORE_CPU,CPU-96,tight,2.0,0.5,32.38
SURROGATE_NN_GA,MANY_CORE_CPU,CPU-96,tight,2.0,1.0,64.75
SURROGATE_NN_GA,MANY_CORE_CPU,CPU-96,tight,2.0,2.0,129.5
GRID,CORENEURON_GPU,RTX 4090,rich,0.5,0.5,6.5625e+42
GRID,CORENEURON_GPU,RTX 4090,rich,0.5,1.0,1.3125e+43
GRID,CORENEURON_GPU,RTX 4090,rich,0.5,2.0,2.625e+43
GRID,CORENEURON_GPU,RTX 4090,rich,1.0,0.5,1.3125e+43
GRID,CORENEURON_GPU,RTX 4090,rich,1.0,1.0,2.625e+43
GRID,CORENEURON_GPU,RTX 4090,rich,1.0,2.0,5.25e+43
GRID,CORENEURON_GPU,RTX 4090,rich,2.0,0.5,2.625e+43
GRID,CORENEURON_GPU,RTX 4090,rich,2.0,1.0,5.25e+43
GRID,CORENEURON_GPU,RTX 4090,rich,2.0,2.0,1.05e+44
GRID,CORENEURON_GPU,A100 40GB,rich,0.5,0.5,1.2833333333333334e+43
GRID,CORENEURON_GPU,A100 40GB,rich,0.5,1.0,2.5666666666666667e+43
