condition_id,angle_deg,trial_seed,firing_rate_hz
nap_high,180.0,3,70.0
nap_high,180.0,4,71.0
nap_high,180.0,5,75.0
nap_high,210.0,1,68.0
nap_high,210.0,2,79.0
nap_high,210.0,3,74.0
nap_high,210.0,4,76.0
nap_high,210.0,5,74.0
nap_high,240.0,1,72.0
nap_high,240.0,2,69.0
nap_high,240.0,3,74.0
nap_high,240.0,4,71.0
nap_high,240.0,5,74.0
nap_high,270.0,1,55.0
nap_high,270.0,2,60.0
nap_high,270.0,3,55.0
nap_high,270.0,4,60.0
nap_high,270.0,5,58.0
nap_high,300.0,1,52.0
nap_high,300.0,2,51.0
nap_high,300.0,3,56.0
nap_high,300.0,4,55.0
nap_high,300.0,5,55.0
nap_high,330.0,1,54.0
nap_high,330.0,2,57.0
nap_high,330.0,3,61.0
nap_high,330.0,4,57.0
nap_high,330.0,5,56.0
nap_low,0.0,1,26.0
nap_low,0.0,2,23.0
nap_low,0.0,3,26.0
nap_low,0.0,4,25.0
nap_low,0.0,5,26.0
nap_low,30.0,1,21.0
nap_low,30.0,2,18.0
nap_low,30.0,3,17.0
nap_low,30.0,4,19.0
nap_low,30.0,5,20.0
nap_low,60.0,1,16.0
nap_low,60.0,2,13.0
nap_low,60.0,3,15.0
nap_low,60.0,4,16.0
nap_low,60.0,5,15.0
nap_low,90.0,1,15.0
nap_low,90.0,2,13.0
nap_low,90.0,3,13.0
nap_low,90.0,4,13.0
nap_low,90.0,5,11.0
nap_low,120.0,1,12.0
nap_low,120.0,2,12.0
nap_low,120.0,3,13.0
nap_low,120.0,4,11.0
nap_low,120.0,5,9.0
nap_low,150.0,1,11.0
nap_low,150.0,2,13.0
nap_low,150.0,3,14.0
nap_low,150.0,4,13.0
nap_low,150.0,5,10.0
nap_low,180.0,1,14.0
nap_low,180.0,2,12.0
nap_low,180.0,3,15.0
nap_low,180.0,4,14.0
nap_low,180.0,5,11.0
nap_low,210.0,1,17.0
nap_low,210.0,2,11.0
nap_low,210.0,3,17.0
nap_low,210.0,4,15.0
nap_low,210.0,5,16.0
nap_low,240.0,1,27.0
nap_low,240.0,2,24.0
nap_low,240.0,3,28.0
nap_low,240.0,4,29.0
nap_low,240.0,5,26.0
nap_low,270.0,1,26.0
nap_low,270.0,2,25.0
nap_low,270.0,3,28.0
nap_low,270.0,4,28.0
nap_low,270.0,5,29.0
