gnmda_ns,angle_deg,synapse_index,onset_time_ms
0.000000,180,78,101.2950
0.000000,180,79,100.0000
0.000000,180,80,100.0000
0.000000,180,81,100.0000
0.000000,180,82,100.0000
0.000000,180,83,100.0000
0.000000,180,84,100.0000
0.000000,180,85,100.0000
0.000000,180,86,100.0000
0.000000,180,87,101.3750
0.000000,180,88,102.6650
0.000000,180,89,100.0000
0.000000,180,90,108.2650
0.000000,180,91,105.3800
0.000000,180,92,106.0800
0.000000,180,93,100.0000
0.000000,180,94,105.9200
0.000000,180,95,102.5400
0.000000,180,96,107.9900
0.000000,180,97,103.4050
0.000000,180,98,102.4850
0.000000,180,99,100.0000
0.000000,210,0,100.0000
0.000000,210,1,100.0000
0.000000,210,2,100.0000
0.000000,210,3,100.0000
0.000000,210,4,108.6150
0.000000,210,5,110.8260
0.000000,210,6,100.0000
0.000000,210,7,100.0000
0.000000,210,8,100.0000
0.000000,210,9,105.1987
0.000000,210,10,109.3842
0.000000,210,11,100.0000
0.000000,210,12,111.2106
0.000000,210,13,100.0000
0.000000,210,14,100.0000
0.000000,210,15,100.0000
0.000000,210,16,101.8887
0.000000,210,17,100.0000
0.000000,210,18,100.0000
0.000000,210,19,100.0000
0.000000,210,20,100.0000
0.000000,210,21,100.0000
0.000000,210,22,100.0000
0.000000,210,23,100.0000
0.000000,210,24,100.0000
0.000000,210,25,100.0000
0.000000,210,26,105.5147
0.000000,210,27,108.9866
0.000000,210,28,100.0000
0.000000,210,29,100.0000
0.000000,210,30,100.0000
0.000000,210,31,100.0000
0.000000,210,32,100.0000
0.000000,210,33,100.0000
0.000000,210,34,100.0000
0.000000,210,35,100.0000
0.000000,210,36,100.0000
0.000000,210,37,108.2695
0.000000,210,38,104.5045
0.000000,210,39,100.0000
0.000000,210,40,100.0000
0.000000,210,41,100.0000
0.000000,210,42,100.0000
0.000000,210,43,100.0000
0.000000,210,44,100.0000
0.000000,210,45,108.3266
0.000000,210,46,101.3875
0.000000,210,47,100.0000
0.000000,210,48,100.0000
0.000000,210,49,109.8171
0.000000,210,50,100.0000
0.000000,210,51,101.7892
0.000000,210,52,102.0717
0.000000,210,53,100.0000
0.000000,210,54,100.0000
0.000000,210,55,100.0000
0.000000,210,56,100.0000
0.000000,210,57,107.2608
0.000000,210,58,103.5188
0.000000,210,59,100.0000
0.000000,210,60,100.0000
0.000000,210,61,100.0000
0.000000,210,62,100.0000
0.000000,210,63,100.3359
0.000000,210,64,100.0000
0.000000,210,65,100.0000
0.000000,210,66,100.0000
0.000000,210,67,112.1583
0.000000,210,68,100.0000
0.000000,210,69,100.0000
0.000000,210,70,100.0000
0.000000,210,71,119.7999
0.000000,210,72,100.0000
0.000000,210,73,106.3786
0.000000,210,74,100.0000
0.000000,210,75,100.0000
0.000000,210,76,100.0000
0.000000,210,77,104.7435
0.000000,210,78,102.0540
0.000000,210,79,100.0000
0.000000,210,80,102.8437
0.000000,210,81,100.0000
0.000000,210,82,100.0000
0.000000,210,83,100.0000
0.000000,210,84,100.0000
0.000000,210,85,100.0000
0.000000,210,86,100.0000
