gnmda_ns,angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0.250000,150,5007,472,112.8814,-70.7593
0.250000,150,5007,480,112.9118,-70.7679
0.250000,150,5007,488,113.1298,-70.8025
0.250000,150,5007,496,113.7344,-70.8396
0.250000,150,5007,504,113.7908,-70.8460
0.250000,150,5007,512,113.9394,-70.8578
0.250000,150,5007,520,114.2311,-70.8517
0.250000,150,5007,528,115.1307,-70.9027
0.250000,150,5007,536,116.3996,-71.2482
0.250000,150,5007,544,116.4606,-71.2645
0.250000,150,5007,552,116.5087,-71.2748
0.250000,150,5007,560,116.8820,-71.2803
0.250000,150,5007,568,117.7534,-71.2650
0.250000,150,5007,576,119.3682,-71.4994
0.250000,150,5007,584,119.4653,-71.5117
0.250000,150,5007,592,119.5675,-71.5144
0.250000,150,5007,600,120.0384,-71.4350
0.250000,150,5007,608,121.1635,-71.3357
0.250000,150,5007,616,123.2099,-71.5026
0.250000,150,5007,624,128.3182,-71.4227
0.250000,150,5007,632,137.6571,-70.4179
0.250000,150,5007,640,155.9594,-68.1240
0.250000,150,5007,648,179.6742,-65.8525
0.250000,150,5007,656,192.9271,-65.1415
0.250000,150,5007,664,203.6368,-64.8015
0.250000,150,5007,672,222.6586,-64.5161
0.250000,150,5007,680,256.3627,-64.4225
0.250000,150,5007,688,341.3569,-64.4985
0.250000,150,5007,696,364.9620,-64.5169
0.250000,150,5007,704,426.4710,-64.5403
0.250000,150,5007,712,743.5151,-64.5611
0.250000,150,5008,0,0.0000,-65.0000
0.250000,150,5008,8,0.0707,-64.9854
0.250000,150,5008,16,0.6925,-64.9161
0.250000,150,5008,24,5.7031,-64.6221
0.250000,150,5008,32,14.5994,-64.5431
0.250000,150,5008,40,23.4957,-64.5550
0.250000,150,5008,48,32.3920,-64.5604
0.250000,150,5008,56,41.2882,-64.5625
0.250000,150,5008,64,61.0579,-64.5615
0.250000,150,5008,72,100.0083,-64.5599
0.250000,150,5008,80,100.0471,-64.5259
0.250000,150,5008,88,100.0745,-64.4693
0.250000,150,5008,96,100.1890,-64.0006
0.250000,150,5008,104,100.2850,-63.3894
0.250000,150,5008,112,100.4189,-62.3728
0.250000,150,5008,120,100.4765,-61.9169
0.250000,150,5008,128,100.6100,-60.8945
0.250000,150,5008,136,100.6831,-60.3803
0.250000,150,5008,144,100.9330,-58.9857
0.250000,150,5008,152,101.0630,-58.5123
0.250000,150,5008,160,101.1289,-58.3353
0.250000,150,5008,168,101.5570,-58.0244
0.250000,150,5008,176,102.4185,-60.2539
0.250000,150,5008,184,102.5123,-60.6050
0.250000,150,5008,192,102.6376,-61.0779
0.250000,150,5008,200,102.7186,-61.3809
0.250000,150,5008,208,102.9366,-62.1666
0.250000,150,5008,216,103.2051,-63.0769
0.250000,150,5008,224,103.5131,-64.0179
0.250000,150,5008,232,103.9106,-65.0932
0.250000,150,5008,240,104.1674,-65.6969
0.250000,150,5008,248,104.3395,-66.0658
0.250000,150,5008,256,104.7713,-66.8642
0.250000,150,5008,264,104.9386,-67.1440
0.250000,150,5008,272,105.1508,-67.4723
0.250000,150,5008,280,105.3336,-67.7339
0.250000,150,5008,288,105.3663,-67.7786
0.250000,150,5008,296,105.5991,-68.0553
0.250000,150,5008,304,106.3192,-68.7546
0.250000,150,5008,312,107.8297,-70.1297
0.250000,150,5008,320,108.1724,-70.3865
0.250000,150,5008,328,108.3544,-70.5032
