angle_deg,synapse_index,onset_time_ms,is_fired
180,57,100.0000,1
180,58,108.8350,0
180,59,100.0000,1
180,60,100.0000,1
180,61,100.0000,1
180,62,100.2150,0
180,63,100.0000,1
180,64,100.0000,1
180,65,100.0000,1
180,66,106.3950,0
180,67,109.8650,0
180,68,100.0000,1
180,69,100.0000,1
180,70,100.0000,1
180,71,107.9500,0
180,72,100.0000,1
180,73,104.0600,0
180,74,100.0000,1
180,75,100.0000,1
180,76,100.0000,1
180,77,104.1350,0
180,78,101.2950,0
180,79,100.0000,1
180,80,100.0000,1
180,81,100.0000,1
180,82,100.0000,1
180,83,100.0000,1
180,84,100.0000,1
